[-24.213175,5.595254] 20
[-78.494451,-7.521856] 80
[55.206765,-26.2349695] 80
[67.88461,-4.111168] 80
[64.6671,-16.536198] 80
[19.277445,19.038645] 80
[32.313848,14.2054915] 80
[38.392324,-3.2102975] 80
[-56.038078,21.4278655] 80
[-141.48863,24.6582555] 80
[119.015562,40.2522005] 80
[-73.468059,3.154411] 80
[160.785121,-8.9713225] 80
[140.606948,-21.6970575] 80
[171.258008,6.179332] 80
[88.114211,-13.4051865] 80
[169.847537,-11.547008] 80
[-134.829715,-35.7264855] 80
[170.554464,-15.2062695] 80
[-154.158984,-42.289984] 80
[-150.173684,0.2084795] 80
[-129.954719,15.094551] 80
[-176.317971,8.5149935] 80
[-48.8562,-28.9672815] 80
[-9.791302,-10.5050315] 80
[3.703372,19.1687245] 80
[22.707395,7.441419] 80
[-8.738853,-28.521753] 80
[-170.253529,-3.094284] 80
[-167.649528,-1.67716] 80
[142.775447,17.729781] 80
[176.145836,21.435999] 80
[42.577448,-20.1140545] 80
[-171.540342,21.8013995] 80
[-31.729468,-24.763208] 80
[71.304328,-9.605137] 80
[146.188293,-43.779694] 80
[-145.074875,32.393943] 80
[80.745497,-28.1524035] 80
[-57.928596,20.8367425] 80
[69.733075,8.3300275] 80
[31.559816,26.547388] 80
[-51.624835,11.866285] 80
[-169.908035,-19.6361035] 80
[-176.978607,12.3382565] 80
[95.386139,18.8619995] 80
[-142.112328,33.5535625] 80
[-73.928138,-14.130664] 80
[95.358683,-8.350206] 80
[179.146782,18.3661455] 90
[21.656867,-46.774987] 90
[-2.23581,7.5877105] 90
[134.40639,26.481221] 90
[-56.740635,-15.122812] 90
[-170.092029,-21.571228] 90
[91.611882,13.8145025] 90
[60.791547,-10.515118] 90
[-69.108672,-26.86798] 90
[171.800883,-29.2774675] 90
[87.452817,28.3542445] 90
[-22.73032,28.0690575] 90
[-18.684506,-34.514547] 90
[-119.744677,-35.991316] 90
[70.745091,2.115018] 90
[58.994323,-2.5015405] 90
[1.06174,6.6238375] 90
[69.027129,-19.723558] 90
[-60.928542,19.107829] 90
[-66.160742,4.018761] 90
[-135.699554,37.446911] 90
[-163.466664,-43.2553845] 90
[-39.703924,-0.0548525] 90
[-64.384112,9.605539] 90
[-38.484063,38.642154] 90
[78.760828,-6.412248] 90
[151.288765,11.0458005] 90
[157.115459,7.02047] 90
[149.805711,44.997418] 90
[114.006032,-21.364163] 90
[-34.979183,-30.7407735] 90
[-152.969073,1.2536095] 90
[-37.774096,20.0546055] 90
[8.992442,-48.3590695] 90
[101.237312,-18.339781] 90
[-53.779816,-8.458394] 90
[-68.50828,-32.7626655] 90
[17.343523,16.2184855] 90
[-115.585382,27.731185] 90
[-17.896224,-13.1635205] 90
[-144.949129,-21.8962495] 90
[157.870963,-4.50171] 90
[-141.610097,37.2973595] 90
[-107.273337,-13.6348335] 90
[71.440303,-17.671804] 90
[-86.504424,2.746836] 90
[140.647441,1.081185] 90
[-26.477478,13.0234395] 90
[-167.9276,-22.2788165] 90
[-86.254372,11.7212695] 90
[104.462288,15.2543655] 90
[144.657667,-15.7139915] 90
[117.457285,34.362107] 90
[-57.666207,-34.8752125] 90
[135.689971,-31.7641595] 90
[134.590249,-3.421931] 90
[-96.29915,-4.6467425] 90
[105.845293,24.0599575] 90
[-178.313402,30.062803] 90
[-3.649554,-16.362168] 90
[163.684665,-0.3539895] 90
[164.373475,39.1395715] 90
[-175.992086,9.969548] 90
[46.687823,-27.935188] 90
[-45.452017,-12.666777] 90
[-88.764121,-31.3547385] 90
[-59.172711,44.273353] 90
[148.459715,38.2753765] 90
[110.744541,-10.3094975] 90
[174.917998,22.537679] 90
[-117.173842,-22.3495695] 90
[-146.804507,12.114855] 90
[-81.932278,-19.9179125] 90
[-88.622482,-23.5646015] 90
[0.164443,-7.0251795] 90
[163.914078,-9.025622] 90
[-87.233825,-14.6015465] 90
[-35.839279,34.0370515] 90
[-89.972715,-27.648424] 90
[41.071291,24.521983] 90
[-179.46533,-16.794411] 90
[159.388512,-13.3438915] 90
[-82.085876,28.0577215] 90
[158.919891,-17.3144405] 90
[-81.323222,31.9496305] 90
[125.503187,-1.099635] 90
[131.959821,41.317618] 90
[-169.923708,39.661885] 90
[-47.349139,-39.876552] 90
[-80.85563,-6.1094365] 90
[81.401746,-31.467364] 90
[133.578045,17.825372] 90
[-92.771094,-12.756083] 90
[139.951175,10.4769755] 90
[-71.360707,-9.375893] 90
[51.497867,21.609114] 90
[-137.088383,-25.613918] 90
[149.489757,-42.4669345] 90
[-17.840879,-7.3622605] 90
[-74.966796,-5.336971] 90
[9.124773,-43.850869] 90
[-59.351503,7.4339325] 90
[-13.381399,-0.187885] 90
[102.286859,-6.419835] 90
[-117.209446,-21.562173] 90
[-152.206081,-33.2022485] 90
[103.479813,10.045285] 90
[149.446031,-26.6858825] 90
[27.303767,-22.3743] 90
[156.414623,-12.2665735] 90
[41.263842,40.6839815] 90
[76.000664,3.3043595] 90
[-127.197357,-30.865114] 90
[-156.168143,-7.2712745] 90
[105.361887,18.130128] 90
[82.74616,15.00822] 90
[4.447736,29.0303565] 90
[-135.270501,-17.706067] 90
[50.531689,1.6238805] 90
[-72.325249,-9.21656] 90
[-149.379398,21.3841975] 90
[-70.427611,18.367949] 90
[-83.03143,49.0939595] 90
[70.271742,14.4480935] 90
[126.518353,16.645736] 90
[-11.533517,4.3810065] 90
[46.486607,25.167796] 90
[49.189793,45.9390555] 90
[68.659965,-4.5767325] 90
[-25.791745,37.2083805] 90
[-165.990496,22.9705895] 90
[37.875733,23.968872] 90
[-124.309567,29.2829575] 90
[-108.878224,19.678093] 90
[87.946519,-16.3618515] 90
[-100.145567,-16.4592315] 90
[-176.971706,-7.648851] 90
[1.986196,-6.8331255] 90
[124.040596,-6.4041815] 90
[-16.521272,19.967808] 90
[-156.492054,-7.48022] 90
[31.107009,15.7557765] 90
[37.641856,-10.161047] 90
[-129.497882,-10.8753395] 90
[33.099356,-9.814926] 90
[-150.068847,-0.8215525] 90
[-160.978658,-32.5965125] 90
[111.127296,33.7079805] 90
[-69.683503,21.933636] 90
[91.224982,42.9399455] 90
[136.066696,19.6016945] 90
[76.789192,15.8937345] 90
[-168.700676,21.905854] 90
[-11.151818,-12.1694425] 90
[-28.804245,22.73828] 90
[-179.095332,4.230384] 90
[42.001062,36.7603335] 90
[-174.844314,-59.206447] 90
[-163.468858,-19.6851975] 90
[-18.873607,-6.9137665] 100
[-176.089657,-46.250893] 100
[24.065052,-30.031976] 100
[-153.02126,-7.807242] 100
[155.024796,-26.580793] 100
[4.442349,45.3298495] 100
[-165.834364,-45.91708] 100
[-74.096902,-35.215222] 100
[-177.188445,31.80402] 100
[98.30929,-36.677718] 100
[-104.115786,-29.3550875] 100
[-39.015028,39.07372] 100
[23.731,-16.708879] 100
[-171.504252,-32.948567] 100
[112.844095,-2.5214985] 100
[-121.143947,-4.5395095] 100
[-47.257149,35.7693765] 100
[8.688475,-28.046864] 100
[-105.026286,-54.8045315] 100
[37.210629,37.257155] 100
[-103.876117,22.1428805] 100
[-129.875084,-26.021862] 100
[5.331656,12.345105] 100
[-165.618032,-2.1753745] 100
[32.023186,-2.0388565] 100
[155.130281,-32.070791] 100
[-178.703807,-16.6243965] 100
[-61.243024,28.6679835] 100
[77.585624,-9.062905] 100
[107.573006,14.0862985] 100
[-70.602923,-11.402911] 100
[156.392176,37.2037265] 100
[-146.515805,-38.0975905] 100
[87.27493,-33.0733615] 100
[45.763596,-11.352287] 100
[114.939342,36.414167] 100
[164.753763,0.979647] 100
[-45.739987,-38.6118285] 100
[-95.92348,12.630363] 100
[-22.244328,-27.975479] 100
[28.620143,-23.8417345] 100
[116.970038,38.707781] 100
[48.861095,-26.925002] 100
[-104.13867,36.547689] 100
[147.853488,7.139272] 100
[-147.18099,5.5215195] 100
[10.200583,-20.744861] 100
[153.940328,-22.3190485] 100
[109.827488,-13.5458965] 100
[-111.045679,-3.5201925] 100
[-127.748222,-29.373687] 100
[-155.512437,32.351605] 100
[21.866483,-22.5519585] 100
[164.753285,23.80238] 100
[-171.239286,-24.636314] 100
[-31.053557,-46.479865] 100
[60.317903,28.363754] 100
[129.102455,-24.32923] 100
[-178.513235,8.5200955] 100
[-134.422728,8.338087] 100
[-130.788289,-7.414351] 100
[-42.853708,6.8855585] 100
[57.360789,3.686483] 100
[5.058329,-24.363829] 100
[-18.981503,-24.2407565] 100
[-35.432748,43.8436405] 100
[-84.006016,15.866289] 100
[24.646983,-19.3921575] 100
[22.272986,-44.3916865] 100
[5.153281,17.0433695] 100
[-36.919633,32.075503] 100
[-29.664687,-28.988086] 100
[-138.646898,-43.213949] 100
[-84.501323,-22.490776] 100
[60.69866,12.4938865] 100
[46.963593,-27.057797] 100
[142.937069,5.208225] 100
[79.509001,-37.2508675] 100
[-33.906657,32.133415] 100
[158.165548,-8.0376825] 100
[-107.065117,27.149236] 100
[-130.560968,38.666303] 100
[-20.589582,19.2609565] 100
[5.871129,-18.8008825] 100
[-129.820809,-10.818392] 100
[139.654639,38.3323585] 100
[-119.408666,26.0873475] 100
[94.078501,-25.128727] 100
[-146.537557,-6.497611] 100
[87.837376,-20.9574465] 100
[-41.558504,29.9616185] 100
[-116.302304,3.5020245] 100
[2.779629,38.7806445] 100
[103.738794,20.45903] 100
[-4.716204,17.04543] 100
[103.514248,-31.3439435] 100
[-166.949357,-28.6532165] 100
[132.375695,41.5217075] 100
[58.660755,-58.4685175] 100
[153.27842,-6.492789] 100
[78.221696,-16.43855] 100
[-111.587548,-42.1846865] 100
[-30.149051,-0.7179825] 100
[101.433687,22.238909] 100
[-26.648341,-24.2357705] 100
[-146.043794,-37.8287685] 100
[147.69416,-46.0495545] 100
[172.33719,2.0317155] 100
[-130.921333,5.965381] 100
[2.908245,-5.7113665] 100
[-11.427194,1.863582] 100
[53.079967,-32.1117725] 100
[-117.381637,27.808246] 100
[-150.994694,3.351012] 100
[-158.778653,11.0866185] 100
[41.645506,45.60278] 100
[22.21368,56.819883] 100
[47.38294,0.650499] 100
[82.819171,-17.1818825] 100
[46.178211,44.502177] 100
[158.524614,-27.182853] 100
[85.789104,7.4968815] 100
[-151.022282,-33.7138565] 100
[-11.212946,28.5110185] 100
[165.526987,19.6303365] 100
[162.380812,22.523047] 100
[37.49523,4.5031585] 100
[42.162838,-11.4365165] 100
[-161.627356,-18.3521825] 100
[110.448337,-3.5219025] 100
[-102.109438,14.24561] 100
[147.281596,-40.963594] 100
[-49.975532,-45.646044] 100
[93.947069,22.701309] 100
[-159.583117,9.7042975] 100
[4.539706,38.62429] 100
[-155.273675,9.639269] 100
[-33.268841,32.1154155] 100
[54.788215,2.431609] 100
[-82.067516,-39.258835] 100
[-136.858334,29.746243] 100
[106.01595,-10.7772885] 100
[44.74086,24.905266] 100
[-39.657585,-15.633494] 100
[-78.631256,18.076341] 100
[70.340312,25.4665315] 100
[-64.936966,-43.0077105] 100
[74.103236,24.952498] 100
[-17.496596,7.3404095] 100
[141.258093,1.2911305] 100
[-35.578894,-27.9842845] 100
[-47.766434,-14.0795665] 100
[-153.660726,-32.325114] 100
[11.059865,31.7406665] 100
[-24.333215,13.4556115] 100
[-130.086289,-13.259903] 100
[14.071632,-14.1076015] 110
[12.394587,-48.3402915] 110
[-136.472879,-34.608775] 110
[-91.325741,41.087659] 110
[152.266988,32.692997] 110
[121.783514,-20.9905035] 110
[21.635742,-34.023401] 110
[55.196985,-16.8264145] 110
[-147.416968,-39.324408] 110
[-110.288743,-17.4221575] 110
[-17.654448,27.6110255] 110
[179.333678,34.1356725] 110
[57.235445,-40.476685] 110
[-40.642955,-16.19208] 110
[-106.814188,17.4877935] 110
[-55.340628,-44.4337295] 110
[-76.589959,-22.2957005] 110
[165.996319,-36.1889245] 110
[-71.034046,9.1078105] 110
[-9.142871,28.305694] 110
[59.258953,-14.557843] 110
[156.487843,42.413913] 110
[-30.789089,-23.7811495] 110
[-2.844621,-38.126503] 110
[-78.592871,22.1427145] 110
[50.243742,-25.3571375] 110
[35.051403,-54.303873] 110
[-112.432253,0.4694215] 110
[-137.649875,23.956317] 110
[7.420231,30.4973285] 110
[-170.560766,-52.878071] 110
[-88.958431,53.1187505] 110
[-29.80043,-17.9400145] 110
[86.533336,39.254877] 110
[33.741116,8.7639555] 110
[161.716624,40.6984585] 110
[90.995485,-19.082321] 110
[-130.801339,-3.073693] 110
[-3.820271,14.8522515] 110
[-101.341487,20.499587] 110
[-75.730435,-23.6434345] 110
[38.261738,-30.868244] 110
[-139.367823,-20.975526] 110
[70.889884,-9.0135195] 110
[-167.279791,32.7208395] 110
[-111.309194,-20.301906] 110
[162.064747,-38.880568] 110
[-22.460155,-24.068481] 110
[55.012499,48.439368] 110
[-98.029089,29.6437825] 110
[-48.061246,5.6899115] 110
[162.996027,-9.3655115] 110
[47.807178,-44.715574] 110
[141.927948,-26.6476325] 110
[75.988722,13.8388225] 110
[-139.462875,-44.6685645] 110
[105.235376,-36.9606725] 110
[87.539596,-29.485559] 110
[137.40342,31.116854] 110
[-39.559942,21.1579125] 110
[6.438404,46.831311] 110
[-96.764018,-28.7182605] 110
[125.3469,-13.8545065] 110
[-135.600044,-24.5354585] 110
[-133.863646,-40.307811] 110
[-51.940639,-38.855765] 110
[-159.757251,14.0713745] 110
[44.490348,-19.1233365] 110
[-91.935168,-36.4337185] 110
[107.998501,52.677691] 110
[3.093243,0.3170485] 110
[-59.263956,-12.9839085] 110
[-178.314714,17.511901] 110
[103.657146,-11.9086275] 110
[174.29184,-27.9194795] 110
[-134.210252,10.638265] 110
[-98.177437,-45.8270105] 110
[152.289479,-20.174926] 110
[-165.536826,13.438872] 110
[-97.224191,6.473307] 110
[58.336665,37.479379] 110
[66.059342,34.7461065] 110
[-0.102396,22.4485805] 110
[103.494223,1.176456] 110
[-120.171429,33.4254305] 110
[143.828553,-21.3302595] 110
[-135.673535,-19.141766] 110
[-133.235365,-23.030122] 110
[-93.582712,37.0929845] 110
[-113.6011,35.380528] 110
[-4.444213,-2.8827395] 110
[-32.701378,5.975999] 110
[-71.873913,-11.568471] 110
[-0.118634,29.3152205] 110
[-35.331791,-24.928657] 110
[-95.290662,-18.1509055] 110
[27.76531,-50.9975825] 110
[-101.752318,-13.4444395] 110
[15.155035,-12.009909] 110
[25.142461,5.143878] 110
[-175.144467,-32.8984215] 110
[-100.65819,28.766839] 110
[-30.317959,15.8444435] 110
[73.494436,17.1319355] 110
[14.244018,-30.918802] 110
[91.650789,-18.428857] 110
[-145.234554,-37.154324] 110
[167.565551,37.075975] 110
[-93.106618,-21.562611] 110
[-166.130007,-53.7634705] 110
[-96.520782,6.0758465] 110
[138.701941,25.6792395] 110
[-151.319989,-17.8262215] 110
[-170.131614,14.943464] 110
[58.395693,24.188585] 110
[138.769146,-42.6625885] 110
[-137.581001,34.4328835] 110
[87.461691,-24.3970645] 110
[77.747864,48.286705] 110
[-169.858845,-13.215058] 110
[51.841929,-46.143751] 110
[-160.740218,50.74608] 110
[136.061099,20.481969] 110
[51.907773,-41.450905] 110
[-123.323066,-31.078362] 110
[-105.246652,-18.472748] 110
[-154.013743,7.545211] 110
[92.839241,34.048654] 110
[36.561202,27.07229] 110
[167.642107,35.0172985] 110
[41.848947,-24.830708] 110
[60.815147,21.126594] 110
[-135.601209,-24.4902435] 110
[73.570787,33.9868725] 110
[-154.323139,28.265927] 110
[108.56491,-21.42126] 110
[57.828783,32.595171] 110
[-7.750021,11.554042] 110
[48.026011,-30.555952] 110
[62.971164,-12.7632445] 110
[-43.742097,31.4184165] 110
[25.873942,16.0139] 110
[-52.408677,29.962179] 110
[32.942191,-44.108825] 110
[110.633296,47.1462115] 110
[119.541516,28.929116] 110
[-27.580793,-47.268601] 110
[-122.074937,-1.2466665] 110
[-76.877543,25.4743765] 110
[-100.938172,-27.373806] 110
[44.925839,-7.2518695] 110
[111.935428,-39.5740645] 110
[107.079339,-38.7229995] 110
[-174.657118,22.893023] 110
[6.980885,23.501302] 110
[-103.349843,-30.111776] 110
[85.221783,40.905028] 110
[110.28249,-28.113885] 110
[-55.236225,-9.3730705] 110
[-32.903049,-23.4666455] 110
[129.245896,17.450729] 110
[-25.409549,8.476857] 110
[33.823386,-29.7216685] 110
[115.894404,36.818561] 110
[50.110939,-10.853065] 110
[123.970554,11.5950725] 110
[9.24078,-14.985642] 110
[-68.865152,-2.6393705] 110
[-97.256799,-49.112375] 110
[6.597576,-4.2877845] 110
[-82.215889,19.688976] 110
[-31.247351,5.968669] 110
[150.434029,37.398951] 110
[-167.483038,-40.2156125] 110
[170.751047,-38.864836] 110
[-154.100755,12.422829] 110
[-149.354227,-35.6190595] 110
[-142.687016,-6.20162] 110
[-125.012831,30.5036015] 110
[-169.41034,-50.1636415] 110
[-41.858484,11.381858] 110
[0.326838,29.0531105] 110
[50.499774,38.3105475] 110
[-122.108119,40.949786] 110
[109.60639,24.9948365] 110
[79.363493,-33.6766755] 110
[-118.926527,13.7077765] 110
[-7.911209,11.5666675] 110
[-68.483415,51.456355] 110
[129.489027,42.687138] 110
[132.763491,-14.7890425] 110
[66.736322,5.316565] 110
[81.992112,27.915779] 110
[-88.22593,-7.0638695] 110
[141.632281,-13.945101] 110
[88.808111,14.7366765] 110
[-152.870782,-27.8768085] 110
[-67.342028,32.112056] 110
[-126.804671,-31.1063915] 110
[-30.103552,-17.503792] 120
[94.165306,28.413218] 120
[143.522142,47.297975] 120
[68.443156,48.039285] 120
[-115.770259,-24.4770115] 120
[-13.517509,13.993896] 120
[-120.672706,46.049575] 120
[110.748736,1.798751] 120
[-3.531736,15.3462495] 120
[22.670304,59.7260545] 120
[60.674,-47.133355] 120
[-41.436253,-10.35947] 120
[129.956118,33.5223275] 120
[-3.473065,11.72034] 120
[-69.724203,35.81404] 120
[112.805331,19.0324445] 120
[-97.004114,-44.561301] 120
[-159.021594,38.0416425] 120
[-20.504528,-51.010287] 120
[-107.172292,-17.1719795] 120
[-137.293192,-40.8243195] 120
[-167.996791,7.5102935] 120
[-26.774624,7.3984475] 120
[-43.672115,-8.9507015] 120
[-71.245926,-5.2064995] 120
[171.135043,-45.0643415] 120
[140.492548,-39.979844] 120
[-25.587588,24.204442] 120
[20.019292,-25.73538] 120
[5.187165,26.475403] 120
[92.340182,-8.0251475] 120
[-74.218885,-33.0132635] 120
[37.746025,-41.3668975] 120
[88.564571,-24.39233] 120
[-74.329075,-12.722997] 120
[47.650443,12.220127] 120
[102.795104,14.3569485] 120
