[174.847732,82.4868485] 10
[-40.507035,79.038664] 10
[-110.78702,-51.353837] 10
[26.631606,84.8160765] 10
[-167.996791,7.5102935] 10
[-177.942082,60.856967] 10
[-83.063566,75.226935] 10
[-141.090079,-79.55658] 10
[71.24294,68.9864505] 10
[75.520244,35.024265] 10
[-84.934144,-67.3852915] 10
[140.513789,15.660897] 10
[-47.257149,35.7693765] 10
[90.472513,65.8445065] 10
[96.956146,75.882171] 10
[-91.869882,-74.8938545] 10
[122.678745,-25.8439935] 10
[-13.517509,13.993896] 10
[162.380812,22.523047] 10
[153.815289,-28.835564] 10
[8.812329,23.853938] 10
[44.745096,82.6303] 10
[-73.393991,-57.4871755] 10
[153.12343,-22.5710235] 10
[-126.783501,83.3047465] 10
[-159.232785,83.4349135] 10
[-120.171429,33.4254305] 10
[-105.026286,-54.8045315] 10
[101.660509,68.3536045] 10
[16.049929,79.696794] 10
[26.148352,-79.8428475] 10
[-170.852347,-3.563744] 10
[65.200336,80.843548] 10
[-86.583157,-86.4214395] 10
[164.335854,-69.5935755] 10
[30.856147,19.7769485] 10
[175.991524,62.3936035] 10
[-152.449193,-82.2052015] 10
[88.294624,68.605566] 10
[99.783508,83.584924] 10
[-126.144006,-2.406252] 10
[107.583243,3.841517] 10
[-133.125634,4.7851905] 10
[-80.346191,27.7846495] 10
[-130.869948,67.153006] 10
[7.356797,50.225955] 10
[-162.477548,-82.9186295] 10
[94.165306,28.413218] 10
[-154.487612,76.0249865] 10
[-4.716204,17.04543] 10
[176.161295,-85.729044] 10
[110.551011,10.637877] 10
[-22.244328,-27.975479] 10
[-164.482651,58.6508755] 10
[-66.454495,27.414925] 10
[-94.14858,-17.5949585] 10
[25.814668,66.137202] 10
[100.306226,-75.242296] 10
[-28.974121,-67.114487] 10
[-70.427611,18.367949] 10
[-115.725731,27.4813265] 10
[23.379367,-58.566848] 10
[-0.165707,-60.8914175] 10
[-146.823707,67.1762555] 10
[-98.863939,-55.912197] 10
[-38.314279,26.2603325] 10
[-169.725619,47.287942] 10
[4.615645,-64.2536585] 10
[-175.822114,57.0196905] 10
[45.763596,-11.352287] 10
[-79.235627,-77.871679] 10
[-95.26919,-50.778018] 10
[96.923984,-59.808138] 10
[30.698587,76.447181] 10
[106.950458,45.172535] 10
[-86.254372,11.7212695] 10
[-65.777723,-69.2841985] 10
[33.497829,-65.586144] 10
[-104.693489,-39.417895] 10
[-128.815198,84.115538] 10
[-151.345219,58.7506735] 10
[175.783464,83.18628] 10
[-166.949357,-28.6532165] 10
[37.147933,80.297909] 10
[-76.589959,-22.2957005] 10
[131.959821,41.317618] 10
[29.679699,-77.1704945] 10
[-41.15793,-47.1617955] 10
[156.390862,-86.0880135] 10
[-74.240701,49.060071] 10
[-54.424842,32.052308] 10
[22.849206,84.6586435] 10
[71.440303,-17.671804] 10
[19.203219,-15.7999255] 10
[-152.427735,25.364351] 10
[-106.060225,-61.3533725] 10
[-45.31187,-84.789182] 10
[99.141477,-75.79344] 10
[-57.272547,-22.4950965] 10
[105.845293,24.0599575] 10
[-97.950952,69.157438] 10
[-1.382534,78.60801] 10
[95.358683,-8.350206] 10
[106.61238,-26.4384065] 10
[48.402552,-39.2685255] 10
[-69.802823,73.212911] 10
[166.205887,37.006114] 10
[59.26681,11.361359] 10
[-172.631045,84.7331085] 10
[-12.725319,60.042429] 10
[-118.958345,-57.804005] 10
[141.561073,70.6948325] 10
[-54.961625,-14.1827035] 10
[-150.994694,3.351012] 10
[-111.896257,2.1513085] 10
[-142.112328,33.5535625] 10
[81.992112,27.915779] 10
[10.378637,56.8011395] 10
[-61.975613,35.9963275] 10
[-48.457061,70.952547] 10
[20.745987,-40.763776] 10
[28.746782,83.8659615] 10
[164.763963,-68.6237925] 10
[-78.631256,18.076341] 10
[-123.356894,64.903371] 10
[130.819212,-51.9227645] 10
[-80.102411,84.7758325] 10
[-63.079131,-73.1566555] 10
[-170.253529,-3.094284] 10
[-118.214501,85.924977] 10
[-20.46936,-35.946086] 10
[-53.955699,13.4864825] 10
[165.497831,32.1399245] 10
[169.95827,-42.2428205] 10
[97.947865,-16.494254] 10
[-126.396626,67.4102495] 10
[-92.511387,-47.679987] 10
[136.234478,-72.4692165] 10
[10.468197,-19.6661025] 10
[-163.880817,-74.7824005] 10
[-39.703924,-0.0548525] 10
[-20.87478,87.339197] 10
[-105.976428,-36.601315] 10
[-65.276453,-61.327797] 10
[-174.811221,-20.190389] 10
[88.598368,-66.573113] 10
[22.670304,59.7260545] 10
[-111.428853,-63.156202] 10
[143.085553,28.4939495] 10
[37.703259,-36.0382065] 10
[-175.916497,84.49082] 10
[128.441816,-64.457012] 10
[20.394708,71.903515] 10
[-16.100644,-6.270692] 10
[48.861095,-26.925002] 10
[33.307107,-37.2527] 10
[8.688475,-28.046864] 10
[12.338084,-53.919863] 10
[75.872429,-84.9607295] 10
[-164.866005,85.7622495] 10
[-158.392588,-33.108833] 10
[172.613441,77.007958] 10
[92.3566,-63.570813] 10
[-164.840803,-33.947353] 10
[-172.369308,81.342968] 10
[41.770121,-73.897238] 10
[39.122402,65.499102] 10
[140.676735,-75.8149035] 10
[-123.902311,-46.3468225] 10
[-125.952632,-54.5582635] 10
[5.973582,-64.7453625] 10
[89.055978,-34.9755295] 10
[-179.665456,-14.545063] 10
[12.584245,62.0365295] 10
[57.510063,-54.588197] 10
[108.523933,-0.953221] 10
[-159.389293,-84.8272345] 10
[157.718501,3.005769] 10
[-141.391036,83.8285915] 10
[24.053695,-17.2519555] 10
[141.328532,-72.9459605] 10
[41.263842,40.6839815] 10
[147.88212,11.6768345] 10
[96.971075,36.6135195] 10
[108.56491,-21.42126] 10
[112.955113,82.2398405] 10
[51.396614,80.8989145] 10
[-60.310661,-32.587623] 10
[-57.666207,-34.8752125] 10
[144.332528,30.496473] 10
[20.796912,-45.1660145] 10
[-85.928934,-25.4212815] 10
[142.937069,5.208225] 10
[31.917204,85.291793] 10
[-57.548595,-43.065228] 10
[-146.940273,63.156898] 10
[145.133325,73.6697265] 10
[-0.118634,29.3152205] 10
[-9.330425,-58.236615] 10
[171.169845,73.427571] 10
[90.053852,-43.85085] 10
[-115.48192,-57.6010015] 10
[151.922947,76.105462] 10
[-15.913673,-15.8608995] 10
[-9.156637,58.1130985] 10
[19.348677,-55.222398] 10
[-114.908937,62.1699525] 10
[91.918353,-76.706642] 10
[-133.555522,-84.4739485] 10
[76.266705,-34.442136] 10
[83.865494,9.519058] 10
[91.079633,-83.1176545] 10
[-132.888585,-5.885182] 10
[-12.055112,-50.823902] 10
[-31.247351,5.968669] 10
[119.285855,82.9103735] 10
[-73.332598,73.252456] 10
[100.202085,-48.3405715] 10
[163.684665,-0.3539895] 10
[173.825664,55.920846] 10
[-102.897728,-50.2553195] 10
[87.939242,-31.4102205] 10
[44.925839,-7.2518695] 10
[151.092787,-63.807765] 10
[-138.456501,-69.7758525] 10
[139.980589,-70.755662] 10
[47.685938,-64.7149415] 10
[111.156276,53.5600005] 10
[61.040251,-55.14569] 10
[-46.640555,68.3250485] 10
[88.873063,-74.3390075] 10
[-153.968838,80.5056415] 10
[46.084275,40.023786] 10
[-150.112077,-79.3597775] 10
[-33.138704,-75.0808195] 10
[-37.266786,-72.963005] 10
[-31.448759,-16.546275] 10
[27.303767,-22.3743] 10
[42.640519,51.8318005] 10
[4.522146,63.7313625] 10
[-30.367842,-83.6489225] 10
[-146.121832,-85.506277] 10
[-11.162039,62.860111] 10
[-49.012623,-79.4085345] 10
[-19.158908,-77.93599] 10
[133.837192,9.831554] 10
[75.129105,-84.486646] 10
[-10.682268,-41.6868425] 10
[41.025774,-25.3655165] 10
[-122.55047,-86.765326] 10
[-18.693322,36.0678255] 10
[54.0673,57.135256] 10
[-71.360707,-9.375893] 10
[-96.981013,-76.853377] 10
[-60.145694,-66.000939] 10
[-138.997242,64.07868] 10
[-89.9721,87.2857895] 10
[-59.999509,20.9888475] 10
[-49.472665,82.1119005] 10
[-3.108692,-49.0446565] 10
[-175.999284,-43.123058] 10
[153.319943,85.5260915] 10
[-48.198359,66.7714725] 10
[64.390586,72.970922] 10
[-108.822301,56.4971555] 10
[-99.239784,23.417766] 10
[116.344886,18.3687055] 10
[138.254327,28.751425] 10
[-149.637553,87.011652] 10
[-133.688065,83.0347735] 10
[32.938753,-85.1648865] 10
[9.69038,71.48697] 10
[175.101683,11.5670205] 10
[-65.248064,-46.7255615] 10
[136.183868,-86.1999485] 10
[-83.03143,49.0939595] 10
[-68.087537,-78.7401925] 10
[22.370221,-14.797446] 10
[68.346773,-63.4144475] 10
[-46.507582,-16.260456] 10
[98.82055,7.6695685] 10
[-126.114533,-81.6305875] 10
[81.418693,33.6256645] 10
[119.098869,86.771283] 10
[33.14949,69.467769] 10
[-62.647384,-85.811034] 10
[-88.316534,79.9849735] 10
[-145.632118,45.976239] 10
[-164.690839,-51.003427] 10
[-86.908074,87.705572] 10
[78.43221,-60.035048] 10
[-69.683503,21.933636] 10
[-56.038078,21.4278655] 10
[-164.437735,-7.0376485] 10
[98.826731,45.009607] 10
[161.326674,65.5897675] 10
[146.288595,45.8379995] 10
[103.738794,20.45903] 10
[-142.710534,-9.691769] 10
[-162.489804,-35.328051] 10
[104.462288,15.2543655] 10
[1.986196,-6.8331255] 10
[5.219156,34.389455] 10
[-139.015077,15.278675] 10
[-21.471693,-56.8181715] 10
[95.750295,82.2346875] 10
[-54.850241,57.7623315] 10
[12.828674,47.186774] 10
[145.314228,72.424319] 20
[4.433906,25.0185415] 20
[-11.741344,79.0569985] 20
[27.755528,84.8745415] 20
[-156.557942,-78.603966] 20
[-153.316716,79.313073] 20
[36.556404,-58.2712975] 20
[-131.632087,-5.1050925] 20
[81.31328,72.7920415] 20
[-35.987807,-77.1302075] 20
[53.943394,-85.4234515] 20
[44.91764,75.065778] 20
[36.84724,-50.092052] 20
[-57.913517,-81.4504155] 20
[20.019292,-25.73538] 20
[130.518918,-16.7779825] 20
[-47.019106,82.284283] 20
[49.477017,-60.625713] 20
[-116.95772,80.086548] 20
[-6.588397,-44.541862] 20
[-54.652292,-88.592856] 20
[-9.124296,87.4305785] 20
[115.428178,83.8058635] 20
[23.637687,-78.4419625] 20
[-142.396625,19.790285] 20
[-158.796069,-6.236851] 20
[-99.389609,85.048474] 20
[-14.411512,88.239904] 20
[144.861881,72.5411715] 20
[69.649552,-77.8700435] 20
[-96.06303,86.8403365] 20
[-25.080095,-87.1950005] 20
[111.175534,83.4639415] 20
[-1.383094,86.581227] 20
[-10.926208,86.9182255] 20
[-166.680598,-58.925165] 20
[-110.026356,-69.1743345] 20
[-173.356511,78.600404] 20
[119.266085,-85.2466675] 20
[120.559793,80.776737] 20
[-11.450645,16.954858] 20
[-127.197357,-30.865114] 20
[145.082929,86.516909] 20
[63.538402,77.933881] 20
[-74.996988,45.450076] 20
[2.676633,-86.595511] 20
[-69.168181,63.3281495] 20
[-136.03304,77.7091655] 20
[-103.86865,-67.6896895] 20
[167.565551,37.075975] 20
[161.894081,84.2494475] 20
[22.740932,-88.0959685] 20
[-51.031798,72.9889235] 20
[-58.334952,41.8765725] 20
[-147.154114,87.55342] 20
[142.50409,-73.133319] 20
[81.491801,-87.455849] 20
[-35.839279,34.0370515] 20
[115.506082,-65.3906395] 20
[98.455464,85.330833] 20
[-150.288555,-76.902852] 20
[-140.06635,87.6847275] 20
[-125.398032,84.884648] 20
[153.564055,-87.745292] 20
[-154.93556,-56.33803] 20
[-120.298151,77.071989] 20
[31.588158,-72.3742785] 20
[-12.295584,85.3348785] 20
[-31.52199,87.211189] 20
[-139.083147,75.9825185] 20
[-130.622683,-82.7707535] 20
[-151.764458,-83.3317695] 20
[28.613474,-72.8888775] 20
[-131.234884,-65.3335935] 20
[-86.917786,-83.524624] 20
[-121.453443,81.051597] 20
[111.716716,-85.3746915] 20
[96.208323,-22.040832] 20
[160.991968,-88.0239255] 20
[-100.887747,-86.954715] 20
[26.435476,87.078215] 20
[-47.56127,-77.5992595] 20
[-99.232776,-85.2505115] 20
[-82.062302,86.5744055] 20
[97.793372,-86.884008] 20
[37.770563,-80.3492475] 20
[-65.674691,-80.7174275] 20
[111.723501,-58.9944985] 20
[-50.028669,-4.5332735] 20
[-17.468965,82.52052] 20
[20.453656,84.0635585] 20
[-164.732115,77.829156] 20
[168.471056,78.41878] 20
[153.03345,68.579174] 20
[88.428909,2.184479] 20
[136.037008,-75.1182465] 20
[137.260018,-77.012074] 20
[-108.007211,-80.457465] 20
[-113.728823,46.9979225] 20
[47.883598,-49.002316] 20
[53.407047,-86.345188] 20
[-112.325004,-87.446443] 20
[125.498718,82.5812225] 20
[-154.384695,83.3527445] 20
[-134.713161,69.1039195] 20
[22.093545,-60.424457] 20
[-73.603025,-83.935525] 20
[-135.673535,-19.141766] 20
[47.254491,-50.301283] 20
[-39.666336,79.047498] 20
[61.424528,41.4395635] 20
[-98.969034,-86.921023] 20
[65.889368,60.8388985] 30
[-56.076537,-80.3390205] 30
[-158.658506,-87.1984415] 30
[156.068403,86.09423] 30
[152.859128,-88.555887] 30
[-94.030622,-88.7861505] 30
[85.636519,83.0634445] 30
[-107.466467,-87.6232675] 30
[56.640654,86.096945] 30
[59.559112,87.3402935] 30
[-33.230306,87.6459275] 30
[-102.838909,88.8398065] 30
[-176.234192,85.0933445] 30
[14.029489,-76.7462175] 30
[135.249723,-83.6564935] 30
[44.768932,87.9430515] 30
[122.757908,-86.563513] 30
[178.014034,85.0742995] 30
[179.100506,-87.7708675] 30
[151.200359,-84.8522225] 30
[-78.558415,-87.422349] 30
[36.69249,-89.331837] 30
[-98.435131,-78.561065] 30
[102.385373,85.3907615] 30
[10.010509,-88.127434] 30
[145.378446,89.1500695] 30
[-135.212301,84.3296625] 40
[174.348269,-83.3965385] 40
[163.484556,-86.1392535] 40
[-9.125908,-87.4863505] 40
[11.54002,88.7437905] 40
[-0.234946,-86.0948995] 40
[92.095101,-88.1418615] 40
[-162.018317,86.6700195] 40
[12.505307,-88.374018] 40
[-118.727944,-87.866239] 50
[-151.057586,-87.774231] 50
[146.238658,-85.8209605] 50
[88.053457,85.6647145] 50
[-93.834356,-87.276258] 50
[-157.600374,-88.299459] 50
[144.146133,-88.0471645] 60
[59.654336,-89.138078] 60
[-60.549881,-89.210655] 60
[-48.130949,89.2827535] 60
[-21.345782,89.05578] 60
[-10.14702,88.1536575] 60
[-113.297363,-88.892881] 70
[-10.793011,88.4460915] 70
[-163.606275,-88.4617615] 80
[68.945783,88.945656] 80
[-77.404617,-89.1065515] 80
[-161.280179,-88.4744715] 90
[-78.223911,89.4651495] 90
[55.745998,89.205785] 90
[-74.638035,-89.2438435] 90
[176.220835,-89.35369] 100
[20.065748,-89.480051] 100
[-67.963059,89.033284] 110
[55.567777,-88.965621] 110
[-14.235355,-89.508124] 120
[137.949169,-89.5063845] 140
[165.101314,-89.5773525] 140
[-100.579578,89.6191645] 160
[-50.199361,89.543505] 160
[-171.305268,89.7472225] 210
[-67.775288,89.6913965] 210
[176.234061,89.779758] 250
[-7.241496,89.7577595] 310
[63.664183,-89.8342865] 340
[-36.711331,-89.8457975] 420
[86.778766,89.8618275] 580
[-88.968229,-89.9015765] 600
[176.8371,-89.9649385] 740
[-158.079934,-89.968107] 760
